Kernel Name,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Average
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)",7312.714286,7288.857143,7393.428571,7273.428571,7343.428571,7409.0,7400.285714,7276.714286,7414.142857,7413.714286,7352.5714285
"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",7422.714286,7654.714286,7462.142857,7535.714286,7431.142857,7440.571429,7415.571429,7508.142857,7539.857143,7588.285714,7499.8857144
void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params),85171.57143,85033.0,85146.28571,84932.85714,84905.57143,85069.71429,85032.85714,84929.14286,85299.71429,85136.0,85065.671429
void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params),85573.28571,85325.42857,85814.71429,85459.57143,85247.71429,85232.28571,85417.71429,85389.14286,85594.0,85717.0,85477.085715
void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params),85994.71429,86006.0,86537.14286,85729.71429,85814.57143,85753.85714,86018.42857,86019.14286,85559.71429,85736.42857,85916.97143
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)",7915.857143,7872.857143,7835.428571,7739.857143,7765.714286,7803.571429,7860.285714,7759.428571,7696.857143,7739.142857,7798.9
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)",7827.428571,7836.428571,7851.571429,7750.142857,7829.571429,7818.714286,7843.142857,7781.714286,7748.285714,7759.714286,7804.6714286
"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<c10::complex<float>, c10::complex<float>, c10::complex<float>, at::native::binary_internal::MulFunctor<c10::complex<float>>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",6545.285714,6562.285714,6534.285714,6584.714286,6650.571429,6592.428571,6508.285714,6783.142857,6586.0,6630.714286,6597.7714285
"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<c10::complex<float>, c10::complex<float>, c10::complex<float>, at::native::binary_internal::MulFunctor<c10::complex<float>>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",6194.0,6129.428571,6290.714286,6152.857143,6292.714286,6211.285714,6225.285714,6210.285714,6253.142857,6143.0,6210.2714285
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)",7866.285714,7949.285714,8014.571429,8108.571429,7974.714286,7949.714286,7831.0,7900.714286,7998.857143,7964.714286,7955.8428573
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)",7871.142857,7953.0,8006.857143,7991.142857,7920.428571,7831.428571,7839.857143,8003.714286,7798.714286,7935.285714,7915.1571428
void cutlass::Kernel<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x1_tn_align8>(T1::Params),7261.857143,7275.285714,7335.428571,7236.285714,7440.0,7323.571429,7321.714286,7487.142857,7277.285714,7248.857143,7320.7428571
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4156.0,4124.285714,4132.0,4180.0,4166.0,4132.0,4146.714286,4137.285714,4160.428571,4183.0,4151.7714285
"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",7416.285714,7207.571429,7264.428571,7332.428571,7306.857143,7269.0,7274.142857,7316.142857,7257.285714,7282.142857,7292.6285713
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)",7866.0,7905.285714,7888.571429,7912.142857,7876.714286,7817.714286,7865.571429,7860.285714,7836.714286,7852.857143,7868.1857144
"void <unnamed>::softmax_warp_forward<float, float, float, (int)5, (bool)0, (bool)0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",5500.0,5413.714286,5424.714286,5460.0,5529.571429,5456.142857,5565.285714,5454.857143,5501.0,5496.0,5480.1285715
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)",7805.0,7792.714286,7830.714286,7741.0,7790.0,7871.857143,7813.142857,7783.142857,7718.857143,7718.142857,7786.4571429
void cutlass::Kernel<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_32x1_nn_align8>(T1::Params),6393.571429,6498.142857,6517.428571,6537.857143,6457.285714,6448.428571,6612.571429,6444.142857,6468.714286,6453.571429,6483.1714286
"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",7429.285714,7447.857143,7494.428571,7443.571429,7302.714286,7394.428571,7535.285714,7380.428571,7252.571429,7442.0,7412.2571428
void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params),84955.14286,85262.14286,85106.0,85182.0,85176.57143,84956.0,85276.28571,85102.57143,85097.57143,84856.71429,85097.100001
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char *, (int)3>>(int, T2, T3)",5064.714286,5150.714286,5099.571429,4973.142857,5183.142857,5182.285714,5148.428571,5138.857143,5081.142857,5134.428571,5115.6428571
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)",7870.428571,7813.428571,7897.142857,7813.142857,7846.857143,7899.285714,7904.571429,7876.571429,7834.428571,7875.571429,7863.1428571
"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",5544.428571,5507.0,5572.571429,5471.142857,5626.857143,5488.571429,5494.428571,5546.571429,5539.857143,5446.0,5523.7428572
"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, (int)4>>(T3)",25187.0,25242.57143,25334.57143,25339.85714,25275.14286,25372.14286,25350.14286,25219.28571,25387.14286,25075.71429,25278.357144
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4530.714286,4584.285714,4563.142857,4544.285714,4545.714286,4547.142857,4610.428571,4517.714286,4506.428571,4464.0,4541.3857142
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",4654.142857,4638.714286,4707.428571,4635.714286,4661.714286,14396.57143,4703.714286,4624.714286,4597.428571,4563.428571,4643.0
"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",7483.857143,7526.285714,7502.142857,7436.571429,7516.428571,7495.571429,7610.571429,7426.142857,7505.0,7539.857143,7504.2428572
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)",8010.857143,7910.285714,8012.428571,7870.857143,7889.571429,7970.428571,7763.857143,7968.571429,7867.0,7821.285714,7908.5142857
"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",8059.428571,8081.714286,8090.285714,8142.571429,8164.857143,8084.142857,8025.142857,8137.0,7955.285714,8006.285714,8074.6714285
ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_tn,291588.4286,295222.4286,295572.1429,295734.2857,294325.1429,295661.7143,296632.7143,294571.8571,294888.4286,294999.7143,294919.68572999997
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",6158.142857,6123.571429,6157.142857,6145.714286,6119.0,6135.285714,6210.857143,6159.714286,6137.571429,6208.857143,6155.5857144
ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_tn,287278.4286,287078.0,287731.8571,286934.7143,287052.2857,287596.2857,287846.2857,287316.4286,288840.2857,285903.2857,287357.78571
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)",6409.714286,6536.0,6509.142857,6550.857143,6457.428571,6440.714286,6352.285714,6376.0,6616.0,6548.142857,6479.6285714000005
void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_64x6_tn_align8>(T1::Params),190723.8571,191254.5714,191946.5714,191117.1429,190725.0,191663.5714,191368.1429,191663.5714,191049.0,191467.8571,191297.92856
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char *, (int)3>>(int, T2, T3)",5055.857143,5200.714286,4976.857143,5055.571429,5083.285714,5163.571429,4977.0,4940.285714,5049.0,4997.142857,5049.9285715
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)",7824.428571,7855.857143,7809.571429,7814.571429,7924.0,7834.571429,7755.857143,7820.285714,7810.0,7868.714286,7831.7857144
"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",5648.0,5444.714286,5610.142857,5434.285714,5473.0,5611.428571,5356.428571,5574.714286,5621.857143,5411.428571,5518.5999999000005
"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, (int)4>>(T3)",25237.0,25155.42857,25347.42857,25460.85714,25367.14286,25410.0,25192.85714,25287.14286,25195.57143,25119.85714,25277.328571
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4523.142857,4642.714286,4563.857143,4528.0,4505.285714,4517.142857,4608.0,4521.0,4513.285714,4477.571429,4540.0
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",4562.285714,4693.571429,4636.571429,4570.571429,4609.714286,4636.0,4689.0,4599.714286,4534.142857,4607.571429,4613.9142859
"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",6774.285714,6937.0,6931.285714,6966.571429,6878.285714,6727.0,7030.714286,6927.857143,6826.714286,6880.428571,6888.0142857
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)",7885.142857,8140.571429,7907.0,7893.142857,8025.285714,7880.0,7856.142857,7840.714286,7790.857143,8005.857143,7922.4714286
"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",7975.285714,7942.0,8029.714286,7979.142857,8132.714286,7908.285714,7941.857143,8134.714286,8003.714286,8019.857143,8006.7285715
void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params),85183.42857,85099.28571,85102.42857,85091.28571,85401.0,84920.71429,85129.14286,85166.57143,84963.14286,85111.0,85116.8
void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params),85096.42857,85175.14286,85137.57143,85539.42857,85396.14286,85499.57143,85170.14286,85244.28571,85202.14286,84995.85714,85245.67142900001
void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params),85100.28571,85218.28571,84976.57143,85296.57143,85242.85714,85294.42857,84997.28571,85191.28571,85165.85714,85192.42857,85167.585712
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)",7833.571429,7869.142857,7835.571429,7882.285714,7883.285714,7845.142857,7818.714286,7903.428571,7826.0,7833.714286,7853.0857143
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)",7917.0,7829.428571,7831.142857,7814.714286,7853.0,7821.571429,7767.857143,7796.428571,7813.571429,7781.857143,7822.6571429
"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<c10::complex<float>, c10::complex<float>, c10::complex<float>, at::native::binary_internal::MulFunctor<c10::complex<float>>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",6189.0,6165.857143,6139.571429,6205.571429,6173.142857,6133.285714,6177.428571,6269.428571,6174.857143,6307.857143,6193.6
"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<c10::complex<float>, c10::complex<float>, c10::complex<float>, at::native::binary_internal::MulFunctor<c10::complex<float>>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",6237.571429,6213.714286,6113.571429,6481.571429,6194.0,6149.857143,6143.571429,6152.0,6193.857143,6194.142857,6207.3857145
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)",7912.428571,7956.571429,7890.285714,7901.142857,7904.142857,7890.857143,7795.571429,7960.571429,7874.571429,7890.285714,7897.6428571999995
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)",7962.857143,7903.714286,7910.285714,7871.714286,7904.714286,7879.714286,7802.571429,7914.428571,7844.714286,7799.571429,7879.4285716
void cutlass::Kernel<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x1_tn_align8>(T1::Params),7180.428571,7134.857143,7216.285714,7363.428571,7309.285714,7184.714286,7245.428571,7291.428571,7356.571429,7237.285714,7251.9714284
"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4181.857143,4187.714286,4184.857143,4219.857143,4254.428571,4222.571429,4157.0,4188.0,4355.428571,4186.0,4213.7714286
"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",7154.428571,7299.571429,7123.285714,7234.142857,7217.714286,7132.714286,7207.0,7207.428571,7203.285714,7171.0,7195.0571428
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)",7901.285714,7894.142857,7921.0,7908.142857,7895.0,7911.0,7996.285714,7894.714286,7823.0,7893.571429,7903.8142857
"void <unnamed>::softmax_warp_forward<float, float, float, (int)5, (bool)0, (bool)0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",5505.857143,5577.714286,5541.0,5589.0,5484.0,5509.428571,5490.285714,5549.571429,5568.142857,5599.428571,5541.4428571
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)",7791.0,7779.857143,7800.0,7825.285714,7907.857143,7814.571429,7716.428571,7887.142857,7810.285714,7812.857143,7814.5285714
void cutlass::Kernel<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_32x1_nn_align8>(T1::Params),6422.285714,6436.714286,6425.285714,6496.142857,6460.142857,6479.142857,6482.285714,6473.428571,6449.714286,6460.714286,6458.5857142
